welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     72 : 127 : 199        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 128 : 200        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 129 : 201        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 130 : 202        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     73 : 130 : 203        moving average 500:   14.6% (max - stddev = 12.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     73 : 131 : 204        moving average 500:   14.6% (max - stddev = 12.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     74 : 131 : 205        moving average 500:   14.8% (max - stddev = 12.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     74 : 132 : 206        moving average 500:   14.8% (max - stddev = 12.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     75 : 132 : 207        moving average 500:   15.0% (max - stddev = 13.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     75 : 133 : 208        moving average 500:   15.0% (max - stddev = 13.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     75 : 134 : 209        moving average 500:   15.0% (max - stddev = 13.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     75 : 135 : 210        moving average 500:   15.0% (max - stddev = 13.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     76 : 135 : 211        moving average 500:   15.2% (max - stddev = 13.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     76 : 136 : 212        moving average 500:   15.2% (max - stddev = 13.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     76 : 137 : 213        moving average 500:   15.2% (max - stddev = 13.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     77 : 137 : 214        moving average 500:   15.4% (max - stddev = 13.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     78 : 137 : 215        moving average 500:   15.6% (max - stddev = 13.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     78 : 138 : 216        moving average 500:   15.6% (max - stddev = 13.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     79 : 138 : 217        moving average 500:   15.8% (max - stddev = 13.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     79 : 139 : 218        moving average 500:   15.8% (max - stddev = 13.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     79 : 140 : 219        moving average 500:   15.8% (max - stddev = 13.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     80 : 140 : 220        moving average 500:   16.0% (max - stddev = 14.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     81 : 140 : 221        moving average 500:   16.2% (max - stddev = 14.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     82 : 140 : 222        moving average 500:   16.4% (max - stddev = 14.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     82 : 141 : 223        moving average 500:   16.4% (max - stddev = 14.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     82 : 142 : 224        moving average 500:   16.4% (max - stddev = 14.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     83 : 142 : 225        moving average 500:   16.6% (max - stddev = 14.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     83 : 143 : 226        moving average 500:   16.6% (max - stddev = 14.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     84 : 143 : 227        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     84 : 144 : 228        moving average 500:   16.8% (max - stddev = 14.80%), std-dev of this is ~2%
