welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     129 : 44 : 173        moving average 500:   25.8% (max - stddev = 23.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     130 : 44 : 174        moving average 500:   26.0% (max - stddev = 24.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     130 : 45 : 175        moving average 500:   26.0% (max - stddev = 24.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     130 : 46 : 176        moving average 500:   26.0% (max - stddev = 24.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     131 : 46 : 177        moving average 500:   26.2% (max - stddev = 24.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     132 : 46 : 178        moving average 500:   26.4% (max - stddev = 24.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     133 : 46 : 179        moving average 500:   26.6% (max - stddev = 24.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     134 : 46 : 180        moving average 500:   26.8% (max - stddev = 24.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     135 : 46 : 181        moving average 500:   27.0% (max - stddev = 25.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     136 : 46 : 182        moving average 500:   27.2% (max - stddev = 25.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     136 : 47 : 183        moving average 500:   27.2% (max - stddev = 25.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     137 : 47 : 184        moving average 500:   27.4% (max - stddev = 25.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     138 : 47 : 185        moving average 500:   27.6% (max - stddev = 25.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     138 : 48 : 186        moving average 500:   27.6% (max - stddev = 25.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     138 : 49 : 187        moving average 500:   27.6% (max - stddev = 25.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     139 : 49 : 188        moving average 500:   27.8% (max - stddev = 25.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     139 : 50 : 189        moving average 500:   27.8% (max - stddev = 25.80%), std-dev of this is ~2%
